ALLG-72;AMERICAN EXPERIENCE;AT2000 (Suavizada 10%)_FEM;AT2000 (Suavizada 10%)_MAS;AT-2000 FEMALE;AT-2000 MALE;AT-49 FEMALE;AT-49 MALE;AT-50;AT-55;AT-71;AT-83 FEMALE (Basic);AT-83 FEMALE (IAM);AT-83 MALE (Basic);AT-83 MALE (IAM);BR-EMSmt-v.2010-f;BR-EMSmt-v.2010-m;BR-EMSsb-v.2010-f;BR-EMSsb-v.2010-m;BR-EMSmt-v.2015-f;BR-EMSmt-v.2015-m;BR-EMSsb-v.2015-f;BR-EMSsb-v.2015-m;BR-EMSmt-v.2021-f;BR-EMSmt-v.2021-m;BR-EMSsb-v.2021-f;BR-EMSsb-v.2021-m;CSG-60;CSO-41;CSO-58;CSO58 - FEM - AGE LAST;CSO58 - FEM - AGE NEAREST;CSO58 - MAS - AGE LAST;CSO58 - MAS - AGE NEAREST;CSO58 FEMALE;CSO58 MALE;CSO80;EB7-75;GAM-71 FEMALE;GAM-71 MALE;GAM-83 - FEMALE (suav 10%);GAM83_BÁSICA - FEMALE;GAM83_BÁSICA - MASC;GAM-83 - MASC (suav 10%);GAM-94 FEMALE;GAM-94MALE;GKF-95;GKM-70;GKM-80;GKM-95;GR-95 MALE;GR-95FEMALE;GRUPAL AMERICANA;HUNTER SEMITROPICAL;IBGE 2006              Ambos os Sexos;IBGE 2007                 Ambos os Sexos;IBGE 2008                 Ambos os Sexos;IBGE 2009                 Ambos os Sexos;Prudential-50;Rentiers Français;RP-2000 FEMALE;RP-2000MALE;SGB-51;SGB-71;SGB-75;UP-84 F;UP-84 M;UP84_MAS_&_FEM;UP-94 FEMALE;UP-94 MALE;USTP-61;X-17
0.02034;0.03394;0.005144;0.008207;0.005732;0.009093;0.010112;0.019666;0.019986;0.016526;0.01508;0.006656;0.00599;0.011769;0.01063;0.00599;0.01143;0.00491;0.00851;0.0067445;0.01069;0.0042898;0.0078021;0.0074716172;0.0115288397;0.0052206496;0.0086563625;0.02886;0.03376;0.02657;0.0212802;0.02034;0.0277884;0.02657;0.01756;0.02309;0.02106;0.026912;0.007712;0.017413;0.005769;0.00641;0.013768;0.012391;0.006677;0.011471;0.0055084;0.023201;0.0215872;0.015108;0.011958;0.004126;0.02959;0.04339;0.0171760123964279;0.0169380442672047;0.0166932085921434;0.0164309126940436;0.191167;0.03017;0.007648;0.010012;0.046822;0.03364;0.038601;0.014162;0.022562;0.018685;0.007179;0.012335;0.02252;0.02656
0.0226;0.03687;0.005671;0.009008;0.006347;0.009968;0.011195;0.021283;0.021868;0.018286;0.01619;0.007416;0.006633;0.01292;0.011664;0.00654;0.01246;0.00541;0.00929;0.0072829;0.0116459;0.0047135;0.0086713;0.0081906672;0.0126271357;0.0057413071;0.0095115578;0.03131;0.03658;0.02904;0.0232634;0.02224;0.0303751;0.02904;0.01926;0.02525;0.02314;0.029162;0.008608;0.019185;0.006386;0.007095;0.015409;0.013868;0.007621;0.01294;0.00609;0.025495;0.0238032;0.01646;0.012818;0.004474;0.03113;0.04759;0.0184518985949104;0.018214527876143;0.0179490313196575;0.0176688690495252;0.020927;0.0326;0.008619;0.01128;0.051357;0.036577;0.042355;0.015509;0.024847;0.020517;0.008194;0.013914;0.02431;0.02904
0.02507;0.04013;0.00625;0.00994;0.007017;0.010993;0.012406;0.023066;0.024012;0.020192;0.01741;0.008241;0.007336;0.014248;0.012851;0.00714;0.01358;0.00593;0.01014;0.0078072;0.012549;0.0052346;0.0095833;0.0089797158;0.0138316328;0.0063149382;0.0104519497;0.034;0.03964;0.03175;0.025426;0.02431;0.0332207;0.03175;0.0211;0.02761;0.02542;0.03162;0.009563;0.02126;0.007064;0.007849;0.017324;0.015592;0.008636;0.014535;0.0068875;0.028013;0.0262423;0.018071;0.013697;0.004909;0.0329;0.05156;0.0198047823857942;0.0195694933000314;0.0192806972555144;0.0189811580320427;0.02294;0.03527;0.009706;0.012737;0.05634;0.039799;0.046475;0.01701;0.027232;0.022562;0.009286;0.015629;0.02622;0.03175
0.02777;0.04371;0.006878;0.011016;0.007734;0.012188;0.013759;0.02503;0.026412;0.022256;0.01877;0.009114;0.00809;0.015761;0.014199;0.00778;0.01481;0.00648;0.01107;0.0084053;0.0135129;0.0057864;0.0105349;0.0098449948;0.0151510872;0.0069471667;0.0114859391;0.037;0.04296;0.03474;0.0277884;0.02657;0.0363609;0.03474;0.02309;0.03021;0.02785;0.034364;0.010565;0.023643;0.007817;0.008686;0.019532;0.017579;0.009694;0.016239;0.0079057;0.030776;0.0289249;0.020031;0.01464;0.005448;0.03484;0.0559;0.0212761424966604;0.0210422875851355;0.020731349975281;0.0204128468364046;0.025212;0.03819;0.010954;0.014409;0.061814;0.043445;0.050995;0.018685;0.029634;0.024847;0.010423;0.017462;0.02828;0.03474
0.0307;0.04765;0.007555;0.012251;0.008491;0.013572;0.015272;0.027193;0.029045;0.024491;0.02029;0.010012;0.008888;0.017467;0.015717;0.0085;0.01616;0.0071;0.0121;0.0090414;0.0143795;0.006393;0.0114564;0.0107955489;0.0165960639;0.007643038;0.0126237559;0.04032;0.04656;0.03804;0.0303751;0.02904;0.0398247;0.03804;0.02525;0.03308;0.03044;0.037395;0.011621;0.026316;0.008681;0.009646;0.022004;0.019804;0.010764;0.018034;0.0091493;0.033807;0.0318731;0.022342;0.015691;0.006083;0.03697;0.06069;0.022948175763046;0.0227153731819253;0.0223860948118344;0.0220507377776049;0.027729;0.0414;0.012163;0.016075;0.067822;0.047491;0.055953;0.020517;0.032073;0.027232;0.011574;0.019391;0.03053;0.03804
0.0339;0.052;0.008287;0.013657;0.009288;0.01516;0.016963;0.029577;0.031867;0.026911;0.02199;0.010931;0.009731;0.019373;0.017414;0.00927;0.01763;0.00775;0.01323;0.0097934;0.0156326;0.0071061;0.0124987;0.0118386959;0.018178971;0.0084090081;0.0138734835;0.04401;0.05046;0.04168;0.0332207;0.03175;0.0436032;0.04168;0.02761;0.03624;0.03319;0.040733;0.012877;0.029188;0.009702;0.01078;0.024699;0.022229;0.011763;0.019859;0.0106232;0.037131;0.0351106;0.025002;0.016891;0.006795;0.0393;0.06595;0.024870131384635;0.0246370734917563;0.0242955787898482;0.0239467057974109;0.030456;0.04491;0.013445;0.017871;0.074415;0.051963;0.061387;0.022562;0.034743;0.029634;0.012648;0.021354;0.03301;0.04168
0.03741;0.05676;0.009102;0.015233;0.010163;0.016946;0.018853;0.032202;0.034836;0.029531;0.02389;0.011916;0.010653;0.021486;0.019296;0.01009;0.01925;0.00843;0.01446;0.0105983;0.0167943;0.0079214;0.0135974;0.0129839252;0.0199136179;0.0092516938;0.0152496783;0.04803;0.0547;0.04561;0.0363609;0.03474;0.0476512;0.04561;0.03021;0.03966;0.03617;0.04437;0.014461;0.032435;0.010922;0.012135;0.027574;0.024817;0.012709;0.021729;0.012332;0.040775;0.0386623;0.028012;0.018278;0.007572;0.0418;0.07171;0.0270272124459523;0.0267927595005764;0.0264434916003744;0.0260834716765051;0.033352;0.04876;0.01486;0.019802;0.081642;0.056855;0.067341;0.024847;0.037667;0.032073;0.013665;0.023364;0.03573;0.04561
0.04123;0.06199;0.010034;0.016979;0.011165;0.01892;0.020964;0.035092;0.037916;0.032367;0.026;0.013027;0.011697;0.02381;0.021371;0.011;0.02102;0.00919;0.01581;0.0115216;0.0183789;0.0088362;0.0150356;0.0142412286;0.0218137531;0.0101800969;0.0167635518;0.05233;0.0593;0.04979;0.0398247;0.03804;0.0519144;0.04979;0.03308;0.0433;0.03951;0.048239;0.016477;0.036106;0.012385;0.013761;0.030589;0.02753;0.01373;0.02373;0.0142806;0.044768;0.042555;0.031371;0.019886;0.008398;0.04443;0.07802;0.0293591200227865;0.0291218420433692;0.0287662557854356;0.0283956054637806;0.036376;0.05298;0.016742;0.022206;0.089561;0.062084;0.07386;0.027232;0.040871;0.034743;0.014763;0.025516;0.03866;0.04979
0.0454;0.06767;0.011117;0.018891;0.012339;0.021071;0.023321;0.038272;0.041101;0.035436;0.02834;0.014326;0.012905;0.026353;0.023647;0.01202;0.02295;0.01006;0.0173;0.0124819;0.0202899;0.0097454;0.0166761;0.0156207259;0.023894204;0.0112028796;0.0184300559;0.05686;0.06427;0.05415;0.0436032;0.04168;0.0563373;0.05415;0.03624;0.04709;0.0433;0.052275;0.019;0.040008;0.014128;0.015698;0.033727;0.030354;0.014953;0.025951;0.0164736;0.049141;0.0468165;0.035081;0.02175;0.009262;0.04714;0.08493;0.0318385208003146;0.0315984544165795;0.0312344388863548;0.030851937801438;0.039509;0.0576;0.018579;0.02457;0.09823;0.068386;0.080994;0.029634;0.044504;0.037667;0.016079;0.027905;0.04182;0.05415
0.04994;0.07373;0.012386;0.020967;0.013734;0.023388;0.025954;0.041771;0.04442;0.038756;0.03093;0.015872;0.014319;0.02912;0.026131;0.01312;0.02508;0.01102;0.01893;0.0136001;0.0226976;0.010748;0.0187002;0.0171349675;0.0261708214;0.0123321401;0.0202639879;0.06158;0.06966;0.05865;0.0476512;0.04561;0.0608855;0.05865;0.03966;0.051;0.04765;0.056458;0.021911;0.043827;0.01616;0.017955;0.037078;0.03337;0.016506;0.028481;0.018916;0.053928;0.0514762;0.03914;0.023889;0.010151;0.04988;0.09251;0.0345085987650933;0.0342676547797116;0.0338917483474174;0.0334959061118854;0.042761;0.06266;0.020665;0.027281;0.107713;0.075048;0.088795;0.032073;0.048504;0.040871;0.017748;0.030625;0.0453;0.05865
