BENTZIEN;Experiência CAP;GRUPAL AMERICANA;IAPC;IBA (FERROVIARIOS);MULLER;RP-2000 DISABLED FEMALE;RP-2000 DISABLED MALE;RRB-44;TASA/1927;WINKLEVOSS;ZIMMERMANN;ZIMMERMANN (FERR. ALEMAES)
0.0472;0.0657333512498858;0.105;0.0607;0.0489;0.033;0.018654;0.038026;0.056;0.00018;0.0302;0.0489;0.0489
0.0479;0.0657646456819487;0.107;0.0608;0.0495;0.032;0.01971;0.039334;0.058;0.00021;0.03167;0.0495;0.0495
0.0486;0.0659548488262818;0.109;0.0609;0.0501;0.031;0.020768;0.040668;0.06;0.00023;0.03323;0.0501;0.0501
0.0498;0.0663099414316901;0.111;0.061;0.0512;0.03;0.021839;0.042042;0.062;0.00026;0.03488;0.0512;0.0512
0.0509;0.0668363601121784;0.113;0.0613;0.0529;0.029;0.022936;0.043474;0.064;0.0003;0.03663;0.0529;0.0529
0.0531;0.0675410175939959;0.114;0.0616;0.055;0.028;0.02408;0.044981;0.066;0.00034;0.03847;0.055;0.055
0.055;0.0684313232090527;0.114;0.0619;0.0573;0.027;0.025293;0.046584;0.068;0.00039;0.04042;0.0573;0.0573
0.0574;0.0695152036025539;0.115;0.0623;0.0602;0.026;0.0266;0.048307;0.07;0.00047;0.04248;0.0602;0.0602
0.0594;0.070801123326065;0.115;0.0628;0.0629;1;0.028026;0.050174;0.073;0.00056;0.04465;0.0629;0.0629
0.0619;0.0722981053499819;0.115;0.0633;0.0653;1;0.029594;0.052213;0.076;0.00067;0.04695;0.0653;0.0653
0.0641;0.0740157511547427;0.115;0.0641;0.0685;1;0.031325;0.05445;0.079;0.00083;0.04938;0.0685;0.0685
0.0672;0.0759642601941298;0.115;0.0672;0.0715;1;0.033234;0.056909;0.082;0.00104;0.05195;0.0715;0.0715
0.0712;0.0781544484531275;0.115;0.0712;0.075;1;0.035335;0.059613;0.086;0.00132;0.05466;0.0744;0.07438
0.0755;0.0805977657551912;0.115;0.0755;0.0811;1;0.037635;0.062583;0.089;0.00172;0.05754;0.078;0.0775
0.0807;0.0833063114526876;0.115;0.0807;1;1;0.04014;0.065841;0.092;1;0.06056;0.081;0.08095
0.0864;0.0862928480450356;0.115;0.0864;1;1;0.042851;0.069405;0.095;1;0.06375;0.083;0.08484
0.0942;0.0895708122338124;0.115;0.0942;1;1;0.045769;0.073292;0.099;1;0.06713;0.085;0.08925
0.1014;0.0931543228349304;0.114;0.1014;1;1;0.048895;0.077512;0.103;1;0.07069;0.087;0.09429
0.1067;0.0970581849168696;0.113;0.1098;1;1;0.05223;0.082067;0.106;1;0.07444;0.089;0.10007
0.11405;0.101297889408993;0.112;0.1192;1;1;0.055777;0.086951;0.11;1;0.07841;0.0972;0.1067
0.12238;0.105889607395131;0.111;0.1292;1;1;0.059545;0.092149;0.115;1;0.08259;0.1059;0.1143
0.13189;0.110850178134944;0.11;0.1391;1;1;0.063545;0.09764;0.122;1;0.087;0.115;0.12262
0.1423;0.116197089861693;0.109;0.1503;1;1;0.067793;0.103392;0.132;1;0.09165;0.1249;0.13304
