ALVARO VINDAS;GRUPO AMERICANA;HUNTER'S;IAPB-57 Forte;IAPB-57 FRACA;IBA (FERROVIARIOS);LIGHT FORTE;LIGHT MEDIA;MULLER;PRUDENTIAL (FERR. APOSENT.);RGPS-99/02 M.M;RRB-1944 Mod - Fem;RRB-1944 Mod - Masc;TASA-1927;WYATT 1985 ;ZIMMERMANN EMPR. ESCRIT
0.001383;0.00107;0.0064;0.0543;0.00275;0.0126;0.00838;0.00501;0.00256;0.005;0.00447;0.00374;0.00249;0.00129;0.00322;0.00656
0.001511;0.00116;0.00676;0.0578;0.00295;0.0139;0.00904;0.00548;0.00279;0.0057;0.00491;0.00421;0.00281;0.0014;0.0036;0.00779
0.001657;0.00125;0.00715;0.0618;0.00311;0.0153;0.0098;0.00601;0.00309;0.0064;0.00541;0.00473;0.00315;0.00153;0.00401;0.0087
0.001823;0.00136;0.0076;0.0668;0.00344;0.017;0.0105;0.00655;0.00347;0.0073;0.00597;0.00535;0.00357;0.00168;0.00448;0.01012
0.002014;0.00148;0.00809;0.071;0.00384;0.0188;0.01131;0.00716;0.00395;0.0083;0.00659;0.00608;0.00405;0.00184;0.00502;0.01101
0.002231;0.00161;0.00862;0.0754;0.0043;0.0208;0.01218;0.00784;0.00454;0.0094;0.00725;0.00694;0.00463;0.00203;0.00568;0.01213
0.002479;0.00175;0.00921;0.0781;0.00484;0.0231;0.01307;0.00858;0.00525;0.0108;0.00797;0.00784;0.00523;0.00225;0.00648;0.01331
0.002762;0.00191;0.00986;0.0807;0.00549;0.0257;0.014;0.00937;0.00611;0.0124;0.00878;0.00889;0.00593;0.0025;0.00744;0.01454
0.003089;0.00208;0.01057;0.0825;0.00622;0.0286;0.0149;0.01021;0.00712;0.014;0.0097;0.01022;0.00681;0.00276;0.00845;0.01544
0.003452;0.00226;0.01134;0.0836;0.00709;0.0318;0.01596;0.01119;0.00838;0.0158;0.01079;0.01187;0.00791;0.00306;0.00941;0.01678
0.003872;0.00245;0.01219;0.0837;0.00824;0.0354;0.01696;0.01222;0.00933;0.0178;0.01205;0.01395;0.0093;0.00339;0.01026;0.01923
0.00435;0.00267;0.01312;0.08;0.00964;0.0394;0.01823;0.01346;0.01035;0.0199;0.01336;0.01665;0.0111;0.00377;0.01084;0.02198
