Idade;ALLG-72;AMERICAN EXPERIENCE;AT2000 (Suavizada 10%)_FEM;AT2000 (Suavizada 10%)_MAS;AT-2000 FEMALE;AT-2000 MALE;AT-49 FEMALE;AT-49 MALE;AT-50;AT-55;AT-71;AT-83 FEMALE (Basic);AT-83 FEMALE (IAM);AT-83 MALE (Basic);AT-83 MALE (IAM);BR-EMSmt-v.2010-f;BR-EMSmt-v.2010-m;BR-EMSsb-v.2010-f;BR-EMSsb-v.2010-m;BR-EMSmt-v.2015-f;BR-EMSmt-v.2015-m;BR-EMSsb-v.2015-f;BR-EMSsb-v.2015-m;BR-EMSmt-v.2021-f;BR-EMSmt-v.2021-m;BR-EMSsb-v.2021-f;BR-EMSsb-v.2021-m;CSG-60;CSO-41;CSO-58;CSO58 - FEM - AGE LAST;CSO58 - FEM - AGE NEAREST;CSO58 - MAS - AGE LAST;CSO58 - MAS - AGE NEAREST;CSO58 FEMALE;CSO58 MALE;CSO80;EB7-75;GAM-71 FEMALE;GAM-71 MALE;GAM-83 - FEMALE (suav 10%);GAM83_BÁSICA - FEMALE;GAM83_BÁSICA - MASC;GAM-83 - MASC (suav 10%);GAM-94 FEMALE;GAM-94MALE;GKF-95;GKM-70;GKM-80;GKM-95;GR-95 MALE;GR-95FEMALE;GRUPAL AMERICANA;HUNTER SEMITROPICAL;IBGE 2006              Ambos os Sexos;IBGE 2007                 Ambos os Sexos;IBGE 2008                 Ambos os Sexos;IBGE 2009                 Ambos os Sexos;Prudential-50;Rentiers Français;RP-2000 FEMALE;RP-2000MALE;SGB-51;SGB-71;SGB-75;UP-84 F;UP-84 M;UP84_MAS_&_FEM;UP-94 FEMALE;UP-94 MALE;USTP-61;X-17;BENTZIEN;Experiência CAP;GRUPAL AMERICANA;IAPC;IBA (FERROVIARIOS);MULLER;RP-2000 DISABLED FEMALE;RP-2000 DISABLED MALE;RRB-44;TASA/1927;WINKLEVOSS;ZIMMERMANN;ZIMMERMANN (FERR. ALEMAES);ALVARO VINDAS;GRUPO AMERICANA;HUNTER'S;IAPB-57 Forte;IAPB-57 FRACA;IBA (FERROVIARIOS);LIGHT FORTE;LIGHT MEDIA;MULLER;PRUDENTIAL (FERR. APOSENT.);RGPS-99/02 M.M;RRB-1944 Mod - Fem;RRB-1944 Mod - Masc;TASA-1927;WYATT 1985 ;ZIMMERMANN EMPR. ESCRIT;Atuários Ingleses;Hubbard Laffitte;J.P. Jansen;Kinkelin;Moser;Samuel Dumas
10;0;520,7919554;12,55235269;34,80883149;13,94123829;38,76318783;18,95784087;47,79928226;48,3;41,91816384;38,91972611;15,5868692;14,03931483;42,3161991;37,93308338;13,96153892;17,90137091;11,98105266;12,94794364;6,74241577;11,39392849;5,644378854;6,723275477;17,87898793;20,87038061;14,52292507;17,28294888;138,7619764;187,122631;118,6510185;109,8172236;109,0463893;119,9839911;118,6510185;28,70867715;35,58332407;72,11175201;0;13,13200813;38,67392297;9,593953507;10,69250138;32,44413841;29,25467165;13,07268474;19,64767823;0;0;0;0;0;0;0;0;26,65103518;25,43737219;24,10878277;23,67697795;0;315,4692535;14,06837594;21,13944336;0;127,8327142;0;0;0;0;14,06837594;21,13944336;0;0;0;0;185,6538179;0;0;0;0;0;0;0;0;0;0;0;0;493,417013;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11;0;518,9615489;13,24803615;36,88444731;14,73581717;41,03321278;20,64124473;48,66643486;49,1762364;42,89819055;39,90209991;16,28373933;14,6346687;43,69489759;39,10975293;17,94803697;20,88117344;14,97451866;14,93799278;7,291305599;12,75055786;6,093586845;7,372129828;19,7546495;23,20114976;16,82122827;18,58080615;141,4923626;181,0660603;120,4662516;111,18033;109,9066573;122,2932994;120,4662516;28,70035164;36,55858391;76,00755483;0;14,22446426;39,35271676;10,39245186;11,59063032;33,03236811;29,74518024;13,76942112;20,74067;0;0;0;0;0;0;0;0;27,44394573;26,18723919;25,67642628;24,9008917;0;316,0479836;14,2659156;21,83281431;0;127,6671708;0;0;0;0;14,76472383;22,23158717;0;0;0;0;119,1606728;0;0;0;0;0;0;0;0;0;0;0;0;478,6727728;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12;0;516,4287957;14,14263858;38,56025906;15,72915224;42,80389994;22,32362526;49,63115949;50,15106693;43,97666802;40,88329255;17,1800407;15,42884488;44,87235537;40,18581014;21,93254106;25,84745229;17,96672698;18,9186193;7,900002338;15,06510163;6,632614509;8,300525434;22,35388632;26,92633446;19,39980019;20,92151742;144,2103821;181,6664033;123,2526654;113,4917758;111,7439825;126,5557808;123,2526654;29,68140883;38,52046573;83,83983723;0;15,41592081;40,12978076;11,29062431;12,58836217;33,71977289;30,33503395;14,76516738;22,53084828;0;0;0;0;0;0;0;0;30,41372251;29,70347488;29,76261244;28,3535702;0;332,9587786;14,76261248;22,72507537;0;127,5018418;0;0;0;0;15,85975436;24,22004922;0;0;0;0;77,84142935;0;0;0;0;0;0;0;0;0;0;0;0;465,0605158;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13;0;514,5741862;15,13644936;39,93610739;16,92109744;44,27450429;24,00489685;50,59441686;51,12441482;45,05371425;40,8665304;18,27562029;16,42170847;45,94854901;41,16137525;25,91457334;32,7978521;21,9553803;23,89266286;8,60842397;19,07558973;7,301384442;9,698123257;25,48876207;32,27041977;22,05167644;24,8049789;150,8076173;186,983779;128,9591464;116,8059901;114,5538732;132,7611394;128,9591464;31,65067137;43,44203798;97,56575015;0;16,60683699;40,90589419;12,18850012;13,48583147;34,30674914;30,92434786;16,35898021;25,41622946;0;0;0;0;0;0;0;0;41,59807659;40,28309724;37,51430395;34,00160202;0;361,6662436;15,45855594;23,91567795;0;127,336727;0;0;0;0;17,65239108;27,40286021;0;0;0;0;51,72690172;0;0;0;0;0;0;0;0;0;0;0;0;452,5550385;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
14;65;512,702686;16,32894983;41,11169645;18,21196715;45,44546884;25,78414377;51,75371203;52,2958541;46,12929433;41,8461111;19,47045787;17,41408973;47,0232475;42,13572203;29,8936564;41,72894575;24,94380695;30,85394947;9,486424394;25,51907995;8,239674195;11,8043961;28,90056719;39,227097;24,59932931;30,49241778;158,3454199;195,0959852;135,6186358;121,0787679;118,3316348;139,4304638;135,6186358;34,60684407;49,34423123;113,2217516;87,1;17,89659555;41,78004364;13,08605507;14,58270807;35,09250454;31,61283657;18,84963534;29,59488334;0;0;0;0;0;0;0;0;53,90696654;52,12759958;50,82013384;47,43048439;0;397,6901554;16,15417999;25,30468459;259,9;127,1718259;137,4;0;0;0;20,24181424;31,87819569;59;87;0;17968,56217;34,94831899;0;0;0;0;0;0;0;0;0;0;0;0;441,1325956;0;104;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
15;61,9597;510,8145909;17,62042758;42,18656374;19,60164464;46,61482044;27,56203189;53,00988642;53,56518745;47,30295858;42,82445325;20,86426758;18,70443398;48,09641604;43,10882175;32,87315714;52,63583902;26,93257667;38,80422597;10,78354215;34,78168391;9,667086788;14,8486144;32,2807781;47,46421392;26,87872263;37,81513506;166,8160644;202,2164703;142,2503481;126,3147482;123,0722739;146,5597636;142,2503481;38,5484153;55,23790621;130,7928321;100,5123774;19,18567341;42,85100615;13,98326498;15,57924879;35,97708768;32,40036269;21,53836887;34,36768456;29,59;119,5;107,9;157,9;128,8;31,8;229;0;75,4624126;74,04303362;72,01644743;69,68972166;53,1;437,4592563;16,94917106;26,79224876;262,9149036;145,9356154;140,5066782;148,9;141,4;145,3;23,22849902;36,94695632;70,95811;99,913;0;14319,92204;23,9945173;11070;12230;0;0;0;0;5;0;0;0;57,5;31;430,7707686;27620;103,89184;710;13;7;0;0;0;0;0;36;22;0;0;0;0;0;0;0
16;84,89208426;508,9101965;18,91123539;43,35927825;21,09000011;47,68338387;29,33846552;54,36268619;54,93215837;48,57448202;43,80152801;22,35702945;19,9940661;49,26755033;44,17970335;34,85396409;64,51917418;28,91977191;47,74042132;12,96880408;46,69852992;12,1825457;19,05971072;35,34157689;56,55045021;28,79913287;46,32008003;175,2428749;205,5357831;149,8258221;132,5082883;128,7704029;154,1447199;149,8258221;43,47355852;62,1078446;148,2966205;114,7842458;20,37463195;43,92057399;14,88010565;16,57533242;36,86071186;33,18712076;24,12573802;38,93660473;33,160185;120,855405;109,0022595;159,2481495;128,7339768;31,989824;229,4733;0;92,99210124;90,52218217;88,76438062;86,33566836;54,3711136;477,459384;17,6440781;28,27863133;266,3004245;165,8918526;143,9987028;147,6797769;138,304161;143,4912039;26,01384399;41,91077582;81,89343435;112,7887883;0;11482,35016;16,73163753;9631,119;10374,414;0;0;0;2600;4,99975;0;0;11820;57,2670525;31,99008;421,4483392;16147,978;104,7817136;615,598;15,99792;8,99937;0;0;0;180;120;36,98668;23,99472;0;656600000;400000;0;632000;687000;0
17;111,762726;506,989798;20,30083695;44,53045373;22,67688971;49,04765455;31,21243621;55,91045234;56,49613803;49,94362786;45,77235785;23,84880863;21,28293592;50,53641767;45,34816062;36,83272321;77,37268406;29,90832949;56,66453828;16,50088408;63,32554043;14,25783022;27,91030798;37,89756127;65,84794416;30,32230181;55,48213343;183,6236475;210,704445;157,3662639;139,1649106;135,4201456;161,196866;157,3662639;49,38003427;68,96524073;163,7625143;126,4165611;21,66224012;45,18646504;15,87640452;17,67076399;37,94252693;34,17234781;26,11327972;42,80356425;34,24849551;122,2055646;110,10067;159,5922458;128,6677812;32,17945968;228,9455114;0;109,3098473;106,478156;104,4267172;101,7955625;55,83992365;512,5746203;18,33861999;29,96285444;270,0520281;181,7417569;147,8734705;146,2649175;134,7221197;140,9916492;27,99993211;46,07249366;92,80297806;124,6253728;0;9261,944116;11,84296923;8405,681386;8830,836363;0;0;0;2532,4;4,999500013;0;0;10061,338;57,13435325;32,97921327;413,1451684;10262,34402;110,6529324;661,1184934;19,99420042;10,99824007;0;0;0;179,676;119,856;37,97226506;24,98850132;0;-4227860000;-1219500000;0;-3277120;-3903550;651000
18;131,5728288;505,7079049;21,78909967;45,89831353;24,26271723;50,50893281;33,08466614;57,55412813;58,15703202;51,41014648;46,7458961;25,43930015;22,7698567;52,00220418;46,7129446;36,8190951;89,2065385;30,89600222;65,57417204;22,39677141;89,29884883;17,05104796;37,32309225;39,86048002;74,76227691;31,45660265;64,32709609;191,9561987;214,9021458;163,9000917;146,2806322;142,0421517;166,7745022;163,9000917;55,27798556;74,8241335;174,2577695;130,8365395;22,9490211;46,54945029;16,77240169;18,66580781;39,02310699;35,15656333;27,20250987;45,77016979;33,88709805;123,5504244;111,1951955;158,7395991;128,6014135;32,36890595;229,4120625;0;123,2184094;120,064888;117,8872444;114,9111755;57,50593284;541,1840147;18,73383799;31,44655168;274,1650473;187,161204;152,0288081;144,6565467;130,5566871;137,9047507;29,18745476;49,23396379;101,6892524;133,4314016;0;7514,078472;8,541237862;7351,6248;7542,12246;0;0;0;2466,5576;4,999250037;0;0;8593,05282;56,9020162;34,96641075;404,9381985;6743,75176;115,5089413;637,0863428;24,98775197;12,99649031;0;0;0;179,3525832;119,7121728;39,95561642;25,98154436;0;2,21996E+13;5047488000;0;16525622,4;21093258;-3642110
19;134,3854971;504,395413;23,27640511;47,56153359;25,84740677;52,26493231;35,0540719;59,39190319;60,01405855;53,07316249;48,71217768;27,02859748;24,25577619;53,66444321;48,27363833;36,80547204;100,0194613;29,89008819;73,47403164;27,99966047;106,5290313;20,31203515;48,97073152;41,22938817;82,78635198;32,22898606;72,28369225;195,4249437;220,9333278;168,4640207;153,8511425;149,6065384;171,3326678;168,4640207;62,15290862;78,70238648;181,7654599;131,7584641;24,33424835;48,00929383;17,8675924;19,85989916;40,30143629;36,33885515;27,89239342;48,13602589;32,98676843;124,8899302;112,2858002;156,8965771;128,5348743;32,55816175;229,8729524;0;135,0581636;131,6141711;129,4271814;126,0088668;59,26883472;560,0803566;18,9295747;32,92885893;278,8320026;187,4839888;156,7602657;142,8557607;126,0095066;134,333054;29,97559643;51,79433928;107,5611487;140,2135604;0;6130,20424;6,240213462;6449,469844;6468,398481;0;0;0;2402,427102;4,999000075;0;0;7369,714573;56,76981085;37,95024443;396,8252617;4605,123739;120,3480091;613,4700421;29,97780604;15,99360094;0;0;0;179,0297486;119,5685182;42,93510674;27,97284987;0;-1,31245E+17;-16270224000;0;-81167159,14;-104882577,2;20679525,9
